subject_id,Country,State/Province,County,Location,Minimum Elevation,Maximum Elevation,Main Dropdown,Latitude ⁰,Latitude ',Latitude '',Longitude ⁰,Longitude ',Longitude '',"Primary Collector (*Last*, *First* *Middle*)",Other Collectors (as written),Collector Number  (numeric only),Collector Number (verbatim),Month #1,Day #1,Year #1,Month #2,Day #2,Year #2,subject_image_name,subject_nybg_bar_code,subject_resolved_name,subject_qr_code
16193423,Mexico,Michoacán,Coahuayana,"Vicinity of San Juan de Lima, near the Pacific Ocean south of Coahuayana; thickets along the beach, among stunted and wind-sept plants of Bursera instabilis and Gliricidia sepium.",,,,,,,,,,"McVaugh, Rogers","M. F. Baad, W. R. Anderson and C. W. Laskowski",22987,,3 - March,14,1965,,,,R0000295.JPG,NYBG 3196553,Caesalpinia acapulcensis,50af98ba-1124-4c28-a65f-f3d4eaf1f2f2
16193424,Panama,Darien,Pinogana,Vicinity of El Real,15,,meters,,,,,,,"Allen, P. H.",,946,,10 - October,7,1938,,,,R0000271.JPG,NYBG 3196552,Browneopsis excelsa,5407f854-d0d0-4bfe-8a9b-72ea34d1074f
16193425,Venezuela (Bolivarian Republic of),Zulia,Perija,"Zulia: Distrito Perija. Quebrada Tayaya, 1 km W of Los Angeles de Tucuco, foothills of Cerro Yurmoto (Serrania de Perija).",280,450,meters,9,51,,- 72,49,,"Davidse, G.","A.C. Gonzales, R. A. Leon",18640,,6 - June,23,1980,,,,R0000270.JPG,NYBG 3196551,Brownea tillettiana,543949bc-0073-4f3e-a046-4d7b720fc42d
16193426,Colombia,,,"Rio Chintado, 1-2½ hrs. above La Nueva.",,,,,,,,,,"Duke, J. A.",,9870,9870(3),2 - February,6,1967,,,,R0000269.JPG,NYBG 3196550,Brownea stenantha,55346977-9d1d-4e25-9e7c-ad3f75c8faf2
16193428,Venezuela (Bolivarian Republic of),Bolivar,,"Hoja NB20-5, Serrania Maiguialida. Frente 9, HP 1, al este del Rio Caura.",90,,meters,6,38 N,,- 64,37.4 W,,"Stergios, Basil",Luz Delgado,13439,,3 - March,31,1989,,,,R0000268.JPG,NYBG 3196549,Brownea similis,52bf8407-02a3-4d43-8a09-826a188db942
16193429,Ecuador,Esmeraldas,,3 km. from Panadero river.,,,,,,,,,,"Játiva, Carlos",Carl Epling,2044,,7 - July,27,1967,,,,R0000267.JPG,NYBG 3196548,Brownea puberula,52a89335-2c65-4f7c-a783-32ab50d68aa2
16193430,Colombia,Putumayo,,Umbría.,325,,meters,0,54 N,,76,10 W,,"Klug, G.",,1688,,10 - October,Not Shown,1930,11 - November,Not shown,1930,R0000266.JPG,NYBG 3196547,Brownea negrensis,528f586d-396f-433f-ba34-fbe0c17ac24f
16193431,Ecuador,Esmeraldas,,Río Onzolé at Anchayaco [Anchayacu].,100,,meters,00,57 N,,79,03 W,,"Holm-Nielsen, Lauritz Broder","Jaramillo, J. & Coello, F. & Asanza, E.",25753,,9 - September,3,1980,,,,R0000265.JPG,NYBG 3196546,Brownea multijuga,5443e6cb-485d-49ff-92eb-d82717f4facb
16193432,Venezuela (Bolivarian Republic of),,,"Distrito Federal: lado norte de la Cordillera de la Costa: Osma, 7 km de distancia aerea al este del Los Caracas, a lo largo del río.",150,200,meters,10,36 N,,- 66,31.5 W,,"Meier, Winfried",,2111,,5 - May,Not Shown,1992,,,,R0000263.JPG,NYBG 3196545,Brownea longipedicellata,54578390-09c8-469b-bf15-e3fcacb2f1c8
16193434,Venezuela (Bolivarian Republic of),,,"Carretera Cumana-Caripe, a lo largo del rio Cocollar entre la Soledad y Blanquiabo, sitios 7-20 km al sur del pueblo Rio Cocollar, en zona de bosque siempreverde.",500,600,meters,,,,,,,"Bunting, George S.","Jan Saunders, Gloria Gutermuth",8609,,1 - January,20,1980,,,,R0000262.JPG,NYBG 3196544,Brownea leucantha,546f0f56-cffc-4616-bf0f-214704ae9c31
